code	template
sq	XX është një territor i YY ose ZZ.
lo	XX ເປັນອານາເຂດຂອງ YY ຫຼື ZZ.
ht	XX se yon teritwa YY oswa ZZ.
ti	XX ናይ YY ወይ ZZ ግዝኣት እዩ።
uk	XX – територія YY або ZZ.
uz	XX - YY yoki ZZ hududi.
fr	XX est un territoire de YY ou ZZ.
hy	XX-ը YY կամ ZZ տարածք է:
hr	XX je teritorij YY ili ZZ.
zh-TW	XX 是 YY 或 ZZ 的領地。
id	XX adalah wilayah YY atau ZZ.
it	XX è un territorio di YY o ZZ.
bn	XX হল YY বা ZZ এর একটি অঞ্চল।
bs	XX je teritorija YY ili ZZ.
en	XX is a territory of YY or ZZ.
nl	XX is een territorium van YY of ZZ.
ms	XX ialah wilayah YY atau ZZ.
hi	XX YY या ZZ का क्षेत्र है।
tg	XX қаламрави YY ё ZZ аст.
ky	XX - YY же ZZ аймагы.
my	XX သည် YY သို့မဟုတ် ZZ ၏ နယ်မြေတစ်ခုဖြစ်သည်။
ur	XX YY یا ZZ کا علاقہ ہے۔
el	Το XX είναι μια περιοχή του YY ή του ZZ.
mg	XX dia faritany YY na ZZ.
ja	XX は YY または ZZ の領域です。
sw	XX ni eneo la YY au ZZ.
da	XX er et område af YY eller ZZ.
tl	Ang XX ay isang teritoryo ng YY o ZZ.
sl	XX je ozemlje YY ali ZZ.
ru	XX является территорией YY или ZZ.
tr	XX, YY veya ZZ'nin bir bölgesidir.
az	XX YY və ya ZZ ərazisidir.
ne	XX YY वा ZZ को क्षेत्र हो।
ko	XX는 YY 또는 ZZ의 영역입니다.
iw	XX הוא טריטוריה של YY או ZZ.
sn	XX inharaunda yeYY kana ZZ.
so	XX waa dhul YY ama ZZ.
vi	XX là lãnh thổ của YY hoặc ZZ.
sr	XX је територија YY или ZZ.
pt	XX é um território de YY ou ZZ.
mn	XX нь YY эсвэл ZZ-ийн нутаг дэвсгэр юм.
th	XX เป็นเขตแดนของ YY หรือ ZZ
ka	XX არის YY ან ZZ-ის ტერიტორია.
es	XX es un territorio de YY o ZZ.
ar	XX هي أراضي YY أو ZZ.
is	XX er yfirráðasvæði YY eða ZZ.
zh-CN	XX 是 YY 或 ZZ 的领地。
km	XX គឺជាទឹកដីនៃ YY ឬ ZZ ។
fa	XX قلمرو YY یا ZZ است.
