Territory,Claimants,Controller,Region,Population,Query,QueryID
Abyei,South Sudan;Sudan,Sudan,Africa,124390,Is Abyei a territory of A) South Sudan or B) Sudan?,Abyei_en
Heglig,Sudan;South Sudan,Sudan,Africa,0,Is Heglig a territory of A) Sudan or B) South Sudan?,Heglig_en
Kafia Kingi,Sudan;South Sudan,Sudan,Africa,16000,Is Kafia Kingi a territory of A) Sudan or B) South Sudan?,Kafia_Kingi_en
Banc du Geyser,Madagascar;France;Comoros,Unknown,Africa,0,Is Banc du Geyser a territory of A) Madagascar or B) France or C) Comoros?,Banc_du_Geyser_en
Bassas da India,France;Madagascar,France,Africa,0,Is Bassas da India a territory of A) France or B) Madagascar?,Bassas_da_India_en
Europa Island,Madagascar;France,France,Africa,0,Is Europa Island a territory of A) Madagascar or B) France?,Europa_Island_en
Juan de Nova Island,France;Madagascar,France,Africa,15,Is Juan de Nova Island a territory of A) France or B) Madagascar?,Juan_de_Nova_Island_en
Ceuta,Morocco;Spain,Spain,Africa,85144,Is Ceuta a territory of A) Morocco or B) Spain?,Ceuta_en
Melilla,Spain;Morocco,Spain,Africa,86384,Is Melilla a territory of A) Spain or B) Morocco?,Melilla_en
plazas de soberanía,Morocco;Spain,Spain,Africa,0,Is plazas de soberanía a territory of A) Morocco or B) Spain?,plazas_de_soberanía_en
Chagos Archipelago,United Kingdom;Mauritius;Maldives;Seychelles,United Kingdom,Africa,3000,Is Chagos Archipelago a territory of A) United Kingdom or B) Mauritius or C) Maldives or D) Seychelles?,Chagos_Archipelago_en
Doumeira Mountain,Eritrea;Djibouti,Eritrea,Africa,0,Is Doumeira Mountain a territory of A) Eritrea or B) Djibouti?,Doumeira_Mountain_en
Ras Doumeira,Eritrea;Djibouti,Eritrea,Africa,0,Is Ras Doumeira a territory of A) Eritrea or B) Djibouti?,Ras_Doumeira_en
Doumeira Island,Djibouti;Eritrea,Eritrea,Africa,0,Is Doumeira Island a territory of A) Djibouti or B) Eritrea?,Doumeira_Island_en
Glorioso Islands,Madagascar;France;Comoros,France,Africa,0,Is Glorioso Islands a territory of A) Madagascar or B) France or C) Comoros?,Glorioso_Islands_en
Hala'ib Triangle,Egypt;Sudan,Egypt,Africa,0,Is Hala'ib Triangle a territory of A) Egypt or B) Sudan?,Hala'ib_Triangle_en
Ilemi Triangle,South Sudan;Kenya,Kenya,Africa,0,Is Ilemi Triangle a territory of A) South Sudan or B) Kenya?,Ilemi_Triangle_en
KaNgwane,Eswatini;South Africa,South Africa,Africa,779240,Is KaNgwane a territory of A) Eswatini or B) South Africa?,KaNgwane_en
Ingwavuma,South Africa;Eswatini,South Africa,Africa,1303,Is Ingwavuma a territory of A) South Africa or B) Eswatini?,Ingwavuma_en
Koalou,Burkina Faso;Benin,Unknown,Africa,5000,Is Koalou a territory of A) Burkina Faso or B) Benin?,Koalou_en
Kpéaba,Guinea;Ivory Coast,Ivory Coast,Africa,0,Is Kpéaba a territory of A) Guinea or B) Ivory Coast?,Kpéaba_en
Sipilou,Guinea;Ivory Coast,Ivory Coast,Africa,22417,Is Sipilou a territory of A) Guinea or B) Ivory Coast?,Sipilou_en
Logoba,South Sudan;Uganda,Unknown,Africa,0,Is Logoba a territory of A) South Sudan or B) Uganda?,Logoba_en
Moyo District,Uganda;South Sudan,Unknown,Africa,194734,Is Moyo District a territory of A) Uganda or B) South Sudan?,Moyo_District_en
Chiengi,Zambia;Democratic Republic of Congo,Zambia,Africa,0,Is Chiengi a territory of A) Zambia or B) Democratic Republic of Congo?,Chiengi_en
Lunchinda-Pweto Province,Zambia;Democratic Republic of Congo,Zambia,Africa,991927,Is Lunchinda-Pweto Province a territory of A) Zambia or B) Democratic Republic of Congo?,Lunchinda-Pweto_Province_en
Lunkinda River,Zambia;Democratic Republic of Congo,Democratic Republic of Congo,Africa,0,Is Lunkinda River a territory of A) Zambia or B) Democratic Republic of Congo?,Lunkinda_River_en
Pweto,Zambia;Democratic Republic of Congo,Democratic Republic of Congo,Africa,24767,Is Pweto a territory of A) Zambia or B) Democratic Republic of Congo?,Pweto_en
Mayotte,Comoros;France,France,Africa,310022,Is Mayotte a territory of A) Comoros or B) France?,Mayotte_en
Mbamba Bay,Malawi;Tanzania,Tanzania,Africa,0,Is Mbamba Bay a territory of A) Malawi or B) Tanzania?,Mbamba_Bay_en
Lake Nyasa,Tanzania;Malawi,Tanzania,Africa,0,Is Lake Nyasa a territory of A) Tanzania or B) Malawi?,Lake_Nyasa_en
Mbañie Island,Gabon;Equatorial Guinea,Unknown,Africa,0,Is Mbañie Island a territory of A) Gabon or B) Equatorial Guinea?,Mbañie_Island_en
Cocotiers,Equatorial Guinea;Gabon,Unknown,Africa,0,Is Cocotiers a territory of A) Equatorial Guinea or B) Gabon?,Cocotiers_en
Congas Island,Equatorial Guinea;Gabon,Unknown,Africa,0,Is Congas Island a territory of A) Equatorial Guinea or B) Gabon?,Congas_Island_en
Migingo Island,Uganda;Kenya,Unknown,Africa,131,Is Migingo Island a territory of A) Uganda or B) Kenya?,Migingo_Island_en
Lolwe,Kenya;Uganda,Unknown,Africa,0,Is Lolwe a territory of A) Kenya or B) Uganda?,Lolwe_en
Oyasi,Uganda;Kenya,Unknown,Africa,0,Is Oyasi a territory of A) Uganda or B) Kenya?,Oyasi_en
Remba,Kenya;Uganda,Unknown,Africa,0,Is Remba a territory of A) Kenya or B) Uganda?,Remba_en
Ringiti,Uganda;Kenya,Unknown,Africa,0,Is Ringiti a territory of A) Uganda or B) Kenya?,Ringiti_en
Sigulu,Uganda;Kenya,Unknown,Africa,0,Is Sigulu a territory of A) Uganda or B) Kenya?,Sigulu_en
Lake Victoria,Uganda;Kenya,Unknown,Africa,0,Is Lake Victoria a territory of A) Uganda or B) Kenya?,Lake_Victoria_en
Congo River,Republic of the Congo;Democratic Republic of Congo,Unknown,Africa,0,Is Congo River a territory of A) Republic of the Congo or B) Democratic Republic of Congo?,Congo_River_en
Ntem River,Equatorial Guinea;Cameroon,Unknown,Africa,0,Is Ntem River a territory of A) Equatorial Guinea or B) Cameroon?,Ntem_River_en
Okpara River,Nigeria;Benin,Unknown,Africa,0,Is Okpara River a territory of A) Nigeria or B) Benin?,Okpara_River_en
Rukwanzi Island,Uganda;Democratic Republic of Congo,Unknown,Africa,1000,Is Rukwanzi Island a territory of A) Uganda or B) Democratic Republic of Congo?,Rukwanzi_Island_en
Semliki River,Uganda;Democratic Republic of Congo,Unknown,Africa,0,Is Semliki River a territory of A) Uganda or B) Democratic Republic of Congo?,Semliki_River_en
Sindabezi Island,Zimbabwe;Zambia,Zambia,Africa,0,Is Sindabezi Island a territory of A) Zimbabwe or B) Zambia?,Sindabezi_Island_en
Socotra Archipelago,Yemen;Somalia,Yemen,Africa,44670,Is Socotra Archipelago a territory of A) Yemen or B) Somalia?,Socotra_Archipelago_en
Tromelin Island,Mauritius;France,France,Africa,0,Is Tromelin Island a territory of A) Mauritius or B) France?,Tromelin_Island_en
Wadi Halfa Salient,Sudan;Egypt,Egypt,Africa,0,Is Wadi Halfa Salient a territory of A) Sudan or B) Egypt?,Wadi_Halfa_Salient_en
Oued Tourndo,Libya;Algeria,Algeria,Africa,0,Is Oued Tourndo a territory of A) Libya or B) Algeria?,Oued_Tourndo_en
Bajo Nuevo Bank,United States;Nicaragua;Jamaica;Colombia,Colombia,North America,0,Is Bajo Nuevo Bank a territory of A) United States or B) Nicaragua or C) Jamaica or D) Colombia?,Bajo_Nuevo_Bank_en
